0.0186,1.6236,0.1
0.036,1.6108,0.1
0.1061,1.5724,0.1
0.0127,1.5997,0.1
0.0884,1.6023,0.1
0.051,1.6324,0.1
0.0575,1.6086,0.1
0.1118,1.5922,0.1
0.0641,1.5946,0.1
0.0309,1.6024,0.1
0.0203,6.4403,0.2
0.0191,6.4184,0.2
0.0229,6.4243,0.2
0.0685,6.397,0.2
0.0786,6.4752,0.2
0.0117,6.4531,0.2
0.0569,6.413,0.2
0.0631,6.486,0.2
0.0246,6.4702,0.2
0.0613,6.3556,0.2
0.0368,14.3667,0.3
0.069,14.4458,0.3
0.074,14.4286,0.3
0.0127,14.4826,0.3
0.1766,14.4005,0.3
0.0856,14.3967,0.3
0.0607,14.4339,0.3
0.0322,14.3556,0.3
0.0105,14.3646,0.3
0.0286,14.4131,0.3
0.0145,25.4993,0.4
0.0156,25.688,0.4
0.1539,25.6151,0.4
0.0637,25.6775,0.4
0.121,25.6365,0.4
0.0356,25.5786,0.4
0.02,25.5629,0.4
0.0215,25.625,0.4
0.0214,25.584,0.4
0.0229,25.4658,0.4
0.0153,40.0939,0.5
0.0736,40.0906,0.5
0.0246,40.0817,0.5
0.0155,40.1027,0.5
0.0123,40.1336,0.5
0.0163,39.9674,0.5
0.0168,40.1246,0.5
0.1409,39.8247,0.5
0.0159,39.9622,0.5
0.0114,39.9304,0.5
0.0275,57.5794,0.6
0.0277,57.322,0.6
0.0119,57.4291,0.6
0.0326,57.327,0.6
0.0405,57.4886,0.6
0.0383,57.7414,0.6
0.0941,57.7861,0.6
0.2176,57.5865,0.6
0.0392,57.5342,0.6
0.0369,57.4249,0.6
0.0164,78.1856,0.7
0.0314,78.3042,0.7
0.0314,78.2616,0.7
0.0431,77.9062,0.7
0.0119,78.2929,0.7
0.0343,78.0455,0.7
0.0269,78.2617,0.7
0.0612,78.1759,0.7
0.0178,78.215,0.7
0.0321,78.1272,0.7
0.0344,101.7825,0.8
0.094,103.0948,0.8
0.0437,102.2509,0.8
0.0281,101.8551,0.8
0.0601,102.0482,0.8
0.2252,102.4525,0.8
0.05,101.9831,0.8
0.2039,102.1509,0.8
0.0397,102.1411,0.8
0.2037,102.0793,0.8
0.0122,129.7549,0.9
0.0438,130.6726,0.9
0.0563,130.1198,0.9
0.0424,129.6743,0.9
0.0416,129.9938,0.9
0.0156,130.0434,0.9
0.1974,129.5812,0.9
0.0274,130.068,0.9
0.0517,129.7625,0.9
0.0175,129.3467,0.9
